name,sido,cl_name,url,reason,staff_urls,ignore_robots
의료법인 성념의료재단맑은샘병원,경남,종합병원,http://www.clearwell.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인갑을의료재단 갑을장유병원,경남,종합병원,http://www.kbhospital.com/,홈페이지 접속 실패: robots.txt disallow,,
의료법인석영의료재단창원제일종합병원,경남,종합병원,http://www.mjeilh.co.kr/,의료진 페이지 수집 실패 (모든 페이지 오류),,
의료법인합포의료재단에스엠지연세병원,경남,종합병원,http://www.mysh.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인환명의료재단 조은금강병원,경남,종합병원,http://www.ggmc.or.kr/,홈페이지 접속 실패: HTTP 403,,
창원한마음병원,경남,종합병원,http://www.hanheart.co.kr,홈페이지 접속 실패: HTTP 403,,
계명대학교 경주동산병원,경북,병원,http://kjds.or.kr/new/main/index.php,홈페이지 접속 실패: HTTP 403,,
봉화해성병원,경북,병원,https://bhhospital.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
상쾌한 항구병원,경북,병원,http://www.hang-mun.com/,홈페이지 접속 실패: HTTP 403,,
여성아이병원,경북,병원,http://www.women-i.co.kr,홈페이지 접속 실패: ConnectTimeout: ,,
울진군의료원,경북,병원,https://umc.or.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인대남의료재단청도대남병원,경북,병원,http://www.daenamhosp.co.kr,홈페이지 접속 실패: ConnectTimeout: ,,
의료법인청봉의료재단성누가병원,경북,병원,http://www.stluke.co.kr/,의료진 페이지에서 의사를 찾지 못함,,
의료법인현암의료재단 포항우리병원,경북,병원,http://pohang.wooridul.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
경상북도립김천노인전문요양병원,경북,요양병원,http://www.gimcheonhp.co.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
경상북도립안동노인전문요양병원,경북,요양병원,http://www.andongyuri.co.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
경주시립노인전문요양병원,경북,요양병원,http://www.kjho.co.kr,의료진 페이지에서 의사를 찾지 못함,,
구미시립노인요양병원,경북,요양병원,http://www.gumihosp.or.kr,의료진 페이지에서 의사를 찾지 못함,,
상주시립요양병원,경북,요양병원,http://www.sjsh.co.kr/,홈페이지 접속 실패: robots.txt disallow,,
서요양병원,경북,요양병원,https://seohospital.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
시립문경요양병원,경북,요양병원,http://mg.dhu.ac.kr/,홈페이지 접속 실패: HTTP 500,,
에스요양병원,경북,요양병원,http://www.gjfatima.com,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
영주시립노인전문요양병원,경북,요양병원,http://www.yjctm.com/,홈페이지 접속 실패: ConnectTimeout: ,,
영천요양병원,경북,요양병원,http://www.영천요양병원.com,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인 정암의료재단 윤성요양병원,경북,요양병원,http://www.yshosp.co.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인 한백의료재단 구미아성요양병원,경북,요양병원,http://www.asungh.com/,의료진 페이지에서 의사를 찾지 못함,,
의료법인경북의료재단 경북요양병원,경북,요양병원,https://gbhospital.kr/new/index.php,의료진 페이지에서 의사를 찾지 못함,,
의료법인동오의료재단 도움요양병원,경북,요양병원,http://www.fatimabobath.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인동제의료재단 오차드요양병원,경북,요양병원,http://www.orchard21.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인무일의료재단 참좋은요양병원,경북,요양병원,http://hosp.tvbuddha.org,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인성제의료재단 성제요양병원,경북,요양병원,http://성제요양병원.한국,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인수성의료재단영남요양병원,경북,요양병원,http://www.ynsilver.co.kr/,홈페이지 접속 실패: HTTP 403,,
의료법인인덕의료재단 경도요양병원,경북,요양병원,http://www.gdrh.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인재효의료재단의성요양병원,경북,요양병원,http://www.usgh.co.kr/,의료진 페이지에서 의사를 찾지 못함,,
의료법인청암의료재단 포항송라요양병원,경북,요양병원,http://www.phsongrahp.com/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인화암의료재단 간호나라요양병원,경북,요양병원,http://www.nnnara.com/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
칠곡군립노인요양병원,경북,요양병원,http://www.chilgok8899.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
포항이요양병원,경북,요양병원,http://www.peh.co.kr/,홈페이지 접속 실패: robots.txt disallow,,
의료법인고산의료재단칠곡시몬병원,경북,정신병원,http://www.simonmh.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인성산의료재단새빛병원,경북,정신병원,http://www.새빛병원.com,의료진 페이지에서 의사를 찾지 못함,,
경상북도안동의료원,경북,종합병원,http://amc.or.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
경상북도포항의료원,경북,종합병원,http://www.pmc.or.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
구미강동병원,경북,종합병원,http://www.gumigd.co.kr,의료진 페이지에서 의사를 찾지 못함,,
상주적십자병원,경북,종합병원,http://sjrch.bz.co.kr,홈페이지 접속 실패: robots.txt disallow,,
안동성소병원,경북,종합병원,http://www.sungso.com,의료진 페이지에서 의사를 찾지 못함,,
영남대학교의과대학부속영천병원,경북,종합병원,http://yumc.ac.kr/yc/00_main/main.htm,홈페이지 접속 실패: HTTP 404,,
의료법인덕산의료재단김천제일병원,경북,종합병원,http://www.jeilh.com,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인동춘의료재단문경제일병원,경북,종합병원,http://www.mgjh.co.kr,홈페이지 접속 실패: HTTP 403,,
의료법인삼백의료재단상주성모병원,경북,종합병원,http://www.ssmh.co.kr,홈페이지 접속 실패: robots.txt disallow,,
의료법인한성재단포항세명기독병원,경북,종합병원,http://www.phgidok.com/,의료진 페이지에서 의사를 찾지 못함,,
포항성모병원,경북,종합병원,http://www.pohangsmh.co.kr/,의료진 페이지 수집 실패 (모든 페이지 오류),,
(의)서봉의료재단 보강병원,대구,병원,http://www.bogang.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
MS재건병원,대구,병원,http://www.msrhospital.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
관문병원,대구,병원,https://www.gwanmun.com,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
광개토병원,대구,병원,http://www.burn119.com/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
근로복지공단 대구병원,대구,병원,http://www.kcomwel.or.kr/hospital/daegu/index.jsp,홈페이지 접속 실패: HTTP 400,,
대구보건대학교병원,대구,병원,http://dhch.ac.kr/,의료진 페이지에서 의사를 찾지 못함,,
동인외과병원,대구,병원,http://www.dongins.com/index/,의료진 페이지에서 의사를 찾지 못함,,
리더스재활의학병원,대구,병원,http://www.leadersrehab.com/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
무지개아동병원,대구,병원,http://www.rainbow365.net,의료진 페이지에서 의사를 찾지 못함,,
문성병원,대구,병원,http://www.munsung.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
